constant,value,units,tag,tier,form,block,band,errs,resolves_by,decided_by,precedent,supplied_by,default,superseded_by,note
GUF_ECO_BETA_BIODIVERSITY,0.7,dimensionless exponent,placeholder,,"NLSA Eq. 15 — how fast each service's replacement cost falls with automation. The ORDERING is an argument the framework makes (physical treatment automates readily; pollination and biodiversity resist it, the same Baumol logic that bounds care abatability in Block II); the magnitudes are not constrained by anything.",Ground Use Fee (land/guf.py),,,per-service labour intensity of the replacement task measured at two or more automation levels. Until then the ordering is the claim and the values are placeholders that happen to encode it.,,,,,,
GUF_ECO_BETA_THERMAL,0.8,dimensionless exponent,placeholder,,"NLSA Eq. 15 — how fast each service's replacement cost falls with automation. The ORDERING is an argument the framework makes (physical treatment automates readily; pollination and biodiversity resist it, the same Baumol logic that bounds care abatability in Block II); the magnitudes are not constrained by anything.",Ground Use Fee (land/guf.py),,,per-service labour intensity of the replacement task measured at two or more automation levels. Until then the ordering is the claim and the values are placeholders that happen to encode it.,,,,,,
GUF_ECO_KAPPA_FLOOR_FRACTION,0.1,fraction of the reference κ,placeholder,,,Ground Use Fee (land/guf.py),,,the residual human oversight hours in the most automated environmental-management operation observable. Same structural claim as GUF_ALPHA_FLOOR and PERSONAL_EOH_COMPONENTS' care abatability ceiling — that judgment does not automate to zero — reached here for a third time and still without a measurement behind any of the three.,,,,,,
GUF_ECOSYSTEM_SERVICES,<dict: 7 keys>,"dict of service name -> {kappa_ref: TEH/unit/yr, beta: exponent, unit: str}",derived,,"PAIRS each ecosystem service's replacement cost with its own automation exponent, both bound to the constants above rather than restated. The unit string is carried because κ is meaningless without it — 0.6 TEH/tonne-CO₂eq and 0.006 TEH/m³ are not comparable magnitudes, and a caller supplying a volume in the wrong unit gets a silently wrong surcharge.",Ground Use Fee (land/guf.py),,,,,,,,,"this registry is a BINDING, not a measurement. Six of the seven κ are placeholders and the seventh (carbon) is Tier D; the β ORDERING is an argument the framework makes and the magnitudes are unconstrained. Naming the services does not ground them — it makes them reachable, which is the precondition for grounding them."
SLU_HECTARES,0.01,hectares per Standard Land Unit,convention,,"1 SLU = 100 m² = 0.01 ha, by the NLSA definition of the unit.",Ground Use Fee (land/guf.py),,,,the unit definition itself; changing it changes what SLU MEANS.,,,,,"the definition was carried in PROSE ONLY — ""1 SLU = 100 m²"" appears in land/guf.py's module header and in three docstrings, and nowhere as a value anything could read. Nothing needed it while GUF worked entirely in SLU; ecosystem service volumes arrive per HECTARE (i-Tree, FIA and every ecological survey report per unit area), so linking a service profile to a parcel needs the conversion to exist. Third prose-only number named this session, after WORLD_POPULATION and REFERENCE_FRAME_POPULATION."
GUF_SERVICE_PROFILE_DECLARED,"{'carbon': 2.0, 'air_quality': 0.005}",dict of service name -> volume per hectare per year,instance,,,Ground Use Fee (land/guf.py),,,,,,"an ecological survey of YOUR OWN land. The two services here are the ones with a public instrument that reports the right quantity in the right units per unit area: carbon      — USDA Forest Service FIA carbon estimates, or EPA GHG Inventory LULUCF by land class. FIELD: net annual sequestration per hectare by forest type. Not the stock. air_quality — i-Tree Eco / i-Tree Landscape. FIELD: annual pollution removal (PM2.5/PM10) by canopy, mass per unit area. The other five registered services are deliberately ABSENT rather than guessed: water filtration and pollination are modelled (InVEST) not measured, thermal's cooling-degree-day is a climate variable rather than a service volume, and biodiversity's ""HQU"" is not a standard unit anywhere — it needs a DEFINITION before it needs data.","ORDER-OF-MAGNITUDE PLACEHOLDERS, and they are not a measurement of anywhere. They exist so E(p,ε) can be exercised at a stated scale and so the ×100 calibration can be re-run with the ecological term switched ON — which has never been done, because E has been zero in every scenario the package ships. Round values are used deliberately: false precision here would read as a measurement, and the discipline reference/personal_basket.py holds is that an invented figure entering beside a measured one becomes indistinguishable from it afterwards. Treat any number computed from this profile as a SENSITIVITY, never as a result.",,
GUF_SERVICE_RETENTION_BY_USE,<dict: 10 keys>,"fraction of natural service retained, by use category",instance,,ρ_s(p) in NLSA Eq. 14 — E = Σ V_s · κ_s(ε) · (1 − ρ_s). ρ = 1 means the developed state still delivers the service in full and the parcel owes NO ecosystem surcharge; ρ = 0 means total displacement.,Ground Use Fee (land/guf.py),,,,,,"impervious-surface fraction for YOUR parcels. Intake path: the USGS/MRLC National Land Cover Database publishes it directly — FIELD: NLCD Percent Developed Imperviousness, 30 m raster — and for services delivered by soil and vegetation ρ ≈ 1 − impervious_fraction is a defensible first mapping. It is measured, gridded, and already aligned to land class, which is more than any of the seven κ values can say.","ORDERED PLACEHOLDERS. The RANKING is argued (sealed surface destroys soil and canopy function; agriculture keeps soil but loses canopy; conservation keeps nearly all); the MAGNITUDES are not constrained by anything here. Do not quote a level. The ranking is what a first NLCD pass would confirm or refute, and refuting the ranking would be the interesting result.",,"THE AUTHOR'S REFRAMING IS ALREADY IN THIS TERM. Under ""nature in balance asks little of us; GUF is the cost of resetting land for human use"", E is structurally a DISTURBANCE measure — undisturbed land keeps ρ ≈ 1 and owes nothing, and the fee rises precisely as use displaces function. That is why `conservation` sits at 0.95 and `industrial_heavy` at 0.02: the ordering IS the claim, and it is the same shape as the 27× disturbance gradient the stewardship census found independently (federal parks 0.161 → urban 4.349 h/ha·yr, notes/guf-restoration-derivation.md §2c). Before this existed, ρ defaulted to 0.0 EVERYWHERE — asserting that every parcel, including conservation land, displaces its services totally. That is the upper bound on E, not a neutral default."
GUF_USE_SCALE_FACTOR,100.0,dimensionless multiplier,convention,,"the factor GUF_USE_* were scaled by, from the NLSA template's abstract per-category values. Stated in the GUF_USE_* tag block; named here so the servicing census can quote it without restating it.",Ground Use Fee (land/guf.py),,,,"the NLSA template scaling, retained pending the Phase 2 decision.",,,,,"AND THERE IS A SECOND REASON, found 2026-08-18 (`eoh scenario run guf_magnitude`). This factor scales a PER-SLU coefficient, and SLUs are an area unit, so the fee it governs is proportional to ground area and to nothing else. Re-cut by what each servicing occupation's cost actually follows, only 41.9% of the measured hours scale with area; 44.5% scale with parcel count and 13.6% with throughput. No value of this factor lets a one-basis fee track a three-basis cost. The area-scaling half alone implies ×1.18, against the ×2.82 that falls out of dividing every servicing hour by area because the fee offers nowhere else to put them."
RESTORATION_BOUNDING_ASSUMPTION_H_PER_HA,100.0,labour-hours per hectare,convention,,"the restoration cost the Phase-0 bounding exercise ASSUMED, retained as the declared comparison point for the derived figure that replaced it.",Ground Use Fee (land/guf.py),,,,a declared comparison baseline; nothing measures a guess.,,,,,"A SUPERSEDED ESTIMATE, NOT A SUPERSEDED CONSTANT — which is why this is `convention` and not `retired`. It never governed shipped output; it was a figure used in an analysis (""a plausible restoration figure, prairie seeding/planting"") to bound whether a legacy restoration backlog could move the ecological domain. Deriving it from ASAE field capacity instead gives 0.87–4.81 h/ha over a whole restoration lifetime, so THE GUESS WAS 21–115× TOO HIGH. It is kept because the correction is the finding: the conclusion it supported — that no basis rebalances the domains — holds a fortiori, and a reader who saw only the derived figure could not tell that the earlier reasoning had been checked rather than quietly dropped. WHY IT WAS SO FAR OUT, which is the transferable part: most of a restoration's DOLLAR cost is not labour — it is seed, plant material, design and survey — so reasoning from a remembered cost-per-acre and converting at a wage prices all of that as labour. The same defect that made NRCS EQIP payment schedules unusable."
RESTORATION_AMORTIZATION_YEARS,50.0,years,convention,,the horizon a one-off restoration is amortised over when expressed as an annual obligation.,Ground Use Fee (land/guf.py),,,,"a reporting convention. Changing it changes what the annualised restoration figures MEAN, which is the convention test.",,,,,"a REPORTING FRAME, not a claim about how long restoration takes — the same role GUF_WRITEDOWN_AMORTIZATION_YEARS plays for write-downs, and it carries the same value for the same reason. Every figure derived through it scales inversely with it, which is asserted in the tests rather than left for a reader to assume."
GUF_INFRA_MU_TRANSIT,0.5,per kilometre,placeholder,,NLSA Eq. 16 — exponential decay of infrastructure benefit with distance.,Ground Use Fee (land/guf.py),,,"measured catchment gradients — transit ridership, utility connection cost, and park usage against distance. All three are routinely measured by transport and planning agencies; none has been ingested here.",,,,,,
